graph_id,src_id,dst_id,feat
4,62,55,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
4,55,62,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
4,62,61,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
4,61,62,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
4,62,56,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
4,56,62,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
4,62,57,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
4,57,62,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
4,62,58,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
4,58,62,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
4,62,59,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
4,59,62,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
4,62,60,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
4,60,62,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
4,63,52,"0.0,1.0,0.0,1.0,0.0"
4,52,63,"0.0,1.0,0.0,1.0,0.0"
4,63,53,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
4,53,63,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
4,63,54,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
4,54,63,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
4,63,56,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
4,56,63,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
4,63,58,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
4,58,63,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
4,63,60,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
4,60,63,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
4,64,57,"0.0,1.0,0.0,1.0,0.0"
4,57,64,"0.0,1.0,0.0,1.0,0.0"
4,64,60,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
4,60,64,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,75,67,"0.0,1.0,0.0,1.0,0.0"
5,67,75,"0.0,1.0,0.0,1.0,0.0"
5,75,68,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,68,75,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,75,69,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
5,69,75,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
5,75,70,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
5,70,75,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
5,75,71,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
5,71,75,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
5,76,69,"0.0,1.0,0.0,1.0,0.0"
5,69,76,"0.0,1.0,0.0,1.0,0.0"
5,76,71,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,71,76,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,77,68,"0.0,1.0,0.0,1.0,0.0"
5,68,77,"0.0,1.0,0.0,1.0,0.0"
5,77,71,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
5,71,77,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,88,81,"0.0,1.0,0.0,1.0,0.0"
6,81,88,"0.0,1.0,0.0,1.0,0.0"
6,88,82,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,82,88,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,88,83,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,83,88,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,89,86,"0.0,1.0,0.0,1.0,0.0"
6,86,89,"0.0,1.0,0.0,1.0,0.0"
6,89,81,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,81,89,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,89,83,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,83,89,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,90,78,"0.0,1.0,0.0,1.0,0.0"
6,78,90,"0.0,1.0,0.0,1.0,0.0"
6,90,79,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,79,90,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
6,90,80,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,80,90,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
6,90,86,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
6,86,90,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
6,90,83,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
6,83,90,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
7,101,91,"0.0,1.0,0.0,1.0,0.0"
7,91,101,"0.0,1.0,0.0,1.0,0.0"
7,101,92,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
7,92,101,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
7,101,93,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
7,93,101,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
7,101,94,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
7,94,101,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
7,101,95,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
7,95,101,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
7,101,96,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
7,96,101,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
7,101,97,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
7,97,101,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
7,101,98,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
7,98,101,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
7,101,99,"0.9893582466233818,0.9798772172113324,0.005047637321104635,0.9999999919619634,3.1848573644225912e-06"
7,99,101,"0.9893582466233818,0.9798772172113324,0.005047637321104635,0.9999999919619634,3.1848573644225912e-06"
7,102,92,"0.0,1.0,0.0,1.0,0.0"
7,92,102,"0.0,1.0,0.0,1.0,0.0"
7,102,94,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
7,94,102,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
7,102,96,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
7,96,102,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
7,102,99,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
7,99,102,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
7,103,97,"0.0,1.0,0.0,1.0,0.0"
7,97,103,"0.0,1.0,0.0,1.0,0.0"
7,103,99,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
7,99,103,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,114,106,"0.0,1.0,0.0,1.0,0.0"
8,106,114,"0.0,1.0,0.0,1.0,0.0"
8,114,107,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,107,114,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,114,108,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,108,114,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,114,109,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,109,114,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,114,110,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
8,110,114,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
8,114,111,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
8,111,114,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
8,114,112,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
8,112,114,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
8,114,113,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
8,113,114,"0.6569865987187891,0.9845813313431686,0.004416687051757924,0.9999999938458782,2.786750193870871e-06"
8,115,105,"0.0,1.0,0.0,1.0,0.0"
8,105,115,"0.0,1.0,0.0,1.0,0.0"
8,115,106,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,106,115,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,115,108,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,108,115,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,115,113,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,113,115,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,116,104,"0.0,1.0,0.0,1.0,0.0"
8,104,116,"0.0,1.0,0.0,1.0,0.0"
8,116,105,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,105,116,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
8,116,107,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,107,116,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
8,116,109,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,109,116,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
8,116,113,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
8,113,116,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
9,127,117,"0.0,1.0,0.0,1.0,0.0"
9,117,127,"0.0,1.0,0.0,1.0,0.0"
9,127,118,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,118,127,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,127,119,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
9,119,127,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
9,127,120,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
9,120,127,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
9,127,121,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
9,121,127,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
9,127,122,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
9,122,127,"-0.9589242746631385,0.9921233951186235,0.003154781489306837,0.999999996860142,1.99053585276617e-06"
9,127,123,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
9,123,127,"-0.27941549819892586,0.9886642493161429,0.003785735024096485,0.9999999954786044,2.38864302331871e-06"
9,128,120,"0.0,1.0,0.0,1.0,0.0"
9,120,128,"0.0,1.0,0.0,1.0,0.0"
9,128,123,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,123,128,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,129,119,"0.0,1.0,0.0,1.0,0.0"
9,119,129,"0.0,1.0,0.0,1.0,0.0"
9,129,121,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,121,129,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
9,129,123,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
9,123,129,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
10,140,136,"0.0,1.0,0.0,1.0,0.0"
10,136,140,"0.0,1.0,0.0,1.0,0.0"
10,140,138,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
10,138,140,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
10,140,139,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
10,139,140,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
10,141,133,"0.0,1.0,0.0,1.0,0.0"
10,133,141,"0.0,1.0,0.0,1.0,0.0"
10,141,134,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
10,134,141,"0.8414709848078965,0.9996845379152098,0.0006309573026154199,0.9999999998744057,3.981071705534864e-07"
10,141,135,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
10,135,141,"0.9092974268256817,0.9987383506934931,0.0012619143540422218,0.9999999994976227,7.962143411069097e-07"
10,141,136,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
10,136,141,"0.1411200080598672,0.997162035307237,0.0018928709030918876,0.9999999988696511,1.1943215116602066e-06"
10,141,139,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
10,139,141,"-0.7568024953079282,0.9949565862919176,0.0025238266985760983,0.9999999979904909,1.5924286822133147e-06"
10,142,132,"0.0,1.0,0.0,1.0,0.0"
