graph_id,label
57,"274.3077340646007, 673.5422084839059, 959.4834239976348, -1, -1, -1, -1"
58,"325.637975009628, 435.6271571070713, 427.32734447260606, -1, -1, -1, -1"
59,"1546.5091733900285, 340.58162475456794, 122.33010808431283, -1, -1, -1, -1"
60,"119.3066265403108, 1715.1043112989773, 1562.1378573192846, -1, -1, -1, -1"
61,"1665.8514686735084, 146.28609885988885, 537.3343827954403, -1, -1, -1, -1"
62,"800.6435724827754, 705.0862112310948, 486.6213079905686, -1, -1, -1, -1"
63,"1025.2876837699087, 400.3001902413961, 139.16529280810093, -1, -1, -1, -1"
64,"331.493042744863, 167.46907652549874, 311.2951049870238, -1, -1, -1, -1"
65,"504.370657550209, 474.67471647328, 612.070496808793, -1, -1, -1, -1"
66,"478.7331325546038, 108.32580794982297, 1167.1887072076952, -1, -1, -1, -1"
67,"2167.640081984015, 412.00534721234, 78.50599421632229, -1, -1, -1, -1"
68,"1525.7417917749576, 1025.8018872623375, 217.75274511764195, -1, -1, -1, -1"
69,"48.46407033135279, 251.64163383621434, 666.3129787370578, -1, -1, -1, -1"
70,"633.5480089650194, 698.9367071923142, 544.8633213225718, -1, -1, -1, -1"
71,"1573.4333448478546, 416.59397021576893, 379.70804249576776, -1, -1, -1, -1"
72,"421.47910354995264, 492.89164746856085, 430.95383051540716, -1, -1, -1, -1"
73,"753.3490527164738, 303.96465630611414, 1123.8575846808826, -1, -1, -1, -1"
74,"4439.821151257949, 571.6179936676008, 290.6992080388434, -1, -1, -1, -1"
75,"1473.324309650131, 826.5062524029125, 539.4119785982458, -1, -1, -1, -1"
76,"1015.8211145068271, 308.6417711470052, 288.6442750257998, -1, -1, -1, -1"
77,"2037.6948263746744, 425.7545319769338, 684.8301265834672, -1, -1, -1, -1"
78,"325.06555568796136, 465.0242679302838, 479.26799214957174, -1, -1, -1, -1"
79,"129.24712734080452, 2815.8799868906417, 362.6850596779438, -1, -1, -1, -1"
80,"1058.7081843703495, 324.2880823683536, 121.98066310670237, -1, -1, -1, -1"
81,"70.24738105436228, 860.6483570492882, 196.89485508200121, -1, -1, -1, -1"
82,"1044.3642437680676, 659.5527037784909, 111.64775931543323, -1, -1, -1, -1"
83,"1447.861035112634, 746.8603592372489, 766.8101363364747, -1, -1, -1, -1"
84,"1077.1922843998238, 133.66861161659014, 1213.2437476261684, -1, -1, -1, -1"
85,"767.385664120934, 302.879926844017, 1049.0562391201158, -1, -1, -1, -1"
86,"756.8380907735212, 419.79467048615356, 543.7513740009039, -1, -1, -1, -1"
87,"1438.3595440095519, 427.89864020803617, 460.57324903104586, -1, -1, -1, -1"
88,"4592.907280255568, 313.04459011932465, 229.6158494967153, -1, -1, -1, -1"
89,"419.0109286145521, 807.9971940506606, 377.0108624512379, -1, -1, -1, -1"
90,"140.91479995882938, 3275.156692374875, 480.1385633166879, -1, -1, -1, -1"
91,"1488.4066611308367, 608.3463191493527, 497.92937907283215, -1, -1, -1, -1"
92,"282.27686647728734, 860.3337610588551, 378.4684319332014, -1, -1, -1, -1"
93,"1370.8905238564987, 778.8920440320622, 66.06954409531309, -1, -1, -1, -1"
94,"476.21996770613003, 1200.1488906307882, 769.3872319890028, -1, -1, -1, -1"
95,"1327.132877474608, 634.8028651847025, 176.27465386271035, -1, -1, -1, -1"
96,"2161.106228069009, 397.7461438943265, 638.3193260782568, -1, -1, -1, -1"
97,"392.4743823937317, 250.89227424264038, 1650.9390150833713, -1, -1, -1, -1"
98,"1886.3102084463424, 220.7497466742616, 235.26253868722904, -1, -1, -1, -1"
99,"3734.202697722373, 433.24081533606767, 615.5945565690096, -1, -1, -1, -1"
100,"160.74328860228815, 279.767679317906, 327.7010959698167, 388.4855156739137, -1, -1, -1"
101,"563.758121350688, 394.4367478897019, 361.5559446676616, 1349.8151327344156, -1, -1, -1"
102,"1865.6585798283327, 840.747184600815, 597.4842324357305, 219.61102477897126, -1, -1, -1"
103,"348.41547515890824, 687.2883898912519, 410.65749228023145, 272.2940037796717, -1, -1, -1"
104,"1811.2674669322237, 131.9947849659246, 84.30082743963335, 235.24137276709237, -1, -1, -1"
105,"633.158677583647, 647.8461032649479, 564.4055764952142, 497.1653392269206, -1, -1, -1"
106,"806.7941350982737, 757.6407023438915, 506.4308317904139, 180.75885607436382, -1, -1, -1"
107,"728.0773885773106, 212.95679216522262, 107.85353665179908, 764.0910142657438, -1, -1, -1"
108,"800.9298634544646, 908.3978412629349, 3575.368663535044, 529.3275902682639, -1, -1, -1"
109,"2235.5982354364105, 61.28931425757378, 543.2603008021192, 695.7452053613306, -1, -1, -1"
110,"942.487215005216, 1828.7764585075336, 2176.884784882319, 419.9507931314521, -1, -1, -1"
111,"1039.058865484433, 330.74988816285094, 372.98426488399025, 265.436406417052, -1, -1, -1"
112,"1228.2072655231916, 404.2352080570855, 144.66161333666767, 301.6060434709604, -1, -1, -1"
113,"127.68247441489353, 672.6772809201152, 2820.3867240328386, 1590.3882395909295, -1, -1, -1"
114,"10590.26340860146, 357.42253782713516, 54.97414880843024, 637.2228368567044, -1, -1, -1"
115,"897.1216487002276, 828.7807145001905, 326.4621158955491, 347.5586324230098, -1, -1, -1"
116,"277.6784828697906, 346.6468101339201, 852.0794270280697, 321.887171506556, -1, -1, -1"
117,"2240.5079532488626, 439.03404724534823, 304.4896414407564, 87.72523529309163, -1, -1, -1"
118,"59.61865140329521, 174.82353770484244, 706.9549095835225, 187.96984266393082, -1, -1, -1"
119,"253.21682396012795, 230.8930914176326, 6057.457908586159, 385.7299749583835, -1, -1, -1"
120,"184.2131526058658, 279.15757402919445, 1638.0255701270125, 686.6813402706206, -1, -1, -1"
121,"1186.26746076613, 2155.3532143609, 2818.7430082554492, 568.5065142217885, -1, -1, -1"
122,"732.541783374033, 251.20771048832327, 330.0021574895976, 169.21078878097865, -1, -1, -1"
123,"375.77983234343833, 944.367179592874, 107.47810502369441, 431.6078542174054, -1, -1, -1"
124,"1929.184610112703, 592.2693979127472, 663.9021669868087, 265.04774838096193, -1, -1, -1"
125,"173.88376626204104, 3506.1093500716324, 461.9858706808483, 625.678080133367, -1, -1, -1"
126,"457.055271844504, 111.26267683060085, 779.2191143229178, 2229.028859152727, -1, -1, -1"
127,"911.0866715304968, 1205.4233035511168, 47.83875356234864, 408.85329018051937, -1, -1, -1"
128,"1085.260088182093, 489.2480510053663, 523.8913379054019, 142.3135128130586, -1, -1, -1"
129,"5400.513174869525, 447.0858832332216, 323.58622481003437, 1000.2868777961386, -1, -1, -1"
130,"1809.6529246439145, 783.5997338929957, 414.9023240779554, 468.25097686988295, -1, -1, -1"
131,"3515.130079529035, 2163.908589719211, 714.9641174852719, 331.13269382019143, -1, -1, -1"
132,"1741.0973298315753, 330.41637127602695, 1338.5819448495733, 2593.292114597989, -1, -1, -1"
133,"2053.5674164731904, 4997.458536996216, 306.82661746985116, 2081.00279380098, -1, -1, -1"
134,"1491.8294564295047, 105.20743686991842, 350.8089088107382, 355.0843617662442, -1, -1, -1"
135,"85.94578781201764, 288.0343420021448, 373.86837433034395, 354.3751541670743, -1, -1, -1"
136,"10921.691057275733, 689.7128907555608, 261.39836186827733, 252.8914011115932, -1, -1, -1"
137,"1168.3799128045678, 1033.0801526197827, 335.3114283097886, 4324.851757928917, -1, -1, -1"
138,"445.0613944387164, 1912.7791793990639, 283.1141415654005, 1511.0697098618787, -1, -1, -1"
139,"676.3042091429, 926.4579408921375, 404.60339518688914, 105.5008966897622, -1, -1, -1"
140,"1124.1286043699322, 537.7279325454133, 1148.1618006297415, 2584.5427595561105, -1, -1, -1"
141,"387.4344983947394, 1376.4479553438744, 992.6672610305772, 4833.38028126713, -1, -1, -1"
142,"212.50553022386137, 4306.851646101737, 235.51207552368948, 914.9905608778859, -1, -1, -1"
143,"362.243206374802, 105.21002817569251, 736.6153155196312, 180.7958311326345, -1, -1, -1"
144,"300.25428866454666, 300.590396047298, 453.72587398041406, 375.84032603203974, -1, -1, -1"
145,"1156.5940614898466, 171.40209782401877, 2681.4808164993656, 786.828267471255, -1, -1, -1"
146,"713.0818592289555, 578.588150342632, 587.8664357295993, 134.99790909888733, -1, -1, -1"
147,"1057.487814746124, 551.9732283089859, 742.6525271046391, 191.59408526237561, -1, -1, -1"
148,"2337.0368518640616, 827.4731438854916, 70.12656566706765, 497.6508329600286, -1, -1, -1"
149,"645.0058969650843, 525.6938315541346, 557.7200475629659, 410.84584668920076, -1, -1, -1"
150,"237.08460765938472, 1274.5262605838425, 94.01744242508465, 360.6865385481055, -1, -1, -1"
151,"408.60380442283906, 1434.3103168276427, 291.05194426739905, 1376.918449483688, -1, -1, -1"
152,"3729.6995260022695, 329.2496185812998, 113.69372006746502, 538.1154727830129, -1, -1, -1"
153,"2330.6896086519064, 283.05400658021085, 275.30326198716773, 339.9225230634466, -1, -1, -1"
154,"469.8141872588767, 288.61623959688495, 121.4909989885859, 3633.3861813150265, -1, -1, -1"
155,"278.9951984429858, 281.48748459259855, 2758.2319899259883, 1629.06126056391, -1, -1, -1"
156,"1292.5866218113115, 4683.289836223589, 739.7065009720243, 517.4280679448184, -1, -1, -1"
157,"629.390956637914, 402.98413209324946, 345.04807874486573, 1043.1320615645332, -1, -1, -1"
158,"3537.6062152958507, 528.7657401389056, 283.92221721638595, 2835.005511763179, -1, -1, -1"
159,"520.8358241864902, 885.9617847665513, 929.7390921332953, 700.5599787101205, -1, -1, -1"
160,"1618.3766028523276, 450.04911382326253, 163.01139241937886, 347.33860112709215, -1, -1, -1"
161,"781.7751498595461, 328.3463231020954, 750.9968332145352, 328.7976706025965, -1, -1, -1"
162,"3307.4902605016778, 631.1043647931593, 93.8782342516322, 101.61886224665616, -1, -1, -1"
163,"1147.7708865955592, 484.2615484768261, 221.80943015724975, 283.693347388195, -1, -1, -1"
164,"1152.5853039589726, 68.6527475226174, 760.103623579618, 1460.3220367588856, -1, -1, -1"
165,"2384.6588024298353, 247.18323263957305, 853.0171489898332, 556.392632278327, -1, -1, -1"
166,"707.3074072906679, 524.8723491625977, 867.1217630255596, 531.7477517188644, -1, -1, -1"
167,"654.1235126343543, 196.35901718033512, 385.07712232097856, 104.67900119996223, -1, -1, -1"
168,"602.1183935501313, 573.6182475353206, 891.423225458971, 2974.7181045353536, -1, -1, -1"
169,"1175.465953650917, 1949.8146054498388, 1124.6760683232449, 251.23172664089998, -1, -1, -1"
170,"700.9638066372227, 93.18328346395535, 326.7394877416664, 228.5342680438302, -1, -1, -1"
171,"370.27583109879805, 436.2325614801714, 1670.7481460230017, 1166.1620566768368, -1, -1, -1"
172,"744.8642850195272, 477.0963268394292, 488.8776137861363, 1465.6309114178052, -1, -1, -1"
173,"420.06828847580744, 1585.3505902937343, 555.9565409769064, 770.7610459811035, -1, -1, -1"
174,"929.424854197378, 596.9139103454023, 1132.8717508348163, 354.73535361316226, -1, -1, -1"
175,"94.87215096247384, 275.28126288273654, 472.5339642170741, 357.87523377068, -1, -1, -1"
176,"480.87507260665666, 579.5985159720709, 1500.8047747830624, 464.08199458008164, -1, -1, -1"
177,"766.2043871492855, 912.1184780328742, 147.5864983549921, 2391.945331689895, -1, -1, -1"
178,"1029.2811679036995, 1904.9779227931672, 877.9662698472789, 631.1077492766719, -1, -1, -1"
179,"349.38550154295115, 461.1805473001666, 168.36220758017328, 2836.2874880128065, -1, -1, -1"
180,"410.2147311625302, 157.8243421806602, 310.77755133858113, 390.5366456474814, -1, -1, -1"
181,"1374.0544591022392, 167.3530169697301, 133.73268826028144, 1135.2881785129102, -1, -1, -1"
182,"815.3085674148974, 3125.2729742907777, 328.8342614841827, 714.0675271064927, -1, -1, -1"
183,"260.78607775008174, 898.7142117666322, 1900.2552052098981, 345.40440237966396, -1, -1, -1"
184,"2745.7028878822957, 1863.1708691745266, 388.27531125852136, 407.90586372475934, -1, -1, -1"
185,"466.4063865597435, 2715.207254790347, 176.37824993014777, 410.36081606029916, -1, -1, -1"
186,"970.7043388993281, 248.1055569108036, 1119.7322744032222, 1879.147420223875, -1, -1, -1"
187,"441.24456540307585, 1800.1478475431315, 414.77377797165536, 527.5800552129798, -1, -1, -1"
188,"279.6829518849607, 576.5052532404216, 196.88759283911872, 172.3360295710999, -1, -1, -1"
189,"1057.9419650327811, 56.36668626676024, 90.80897501670205, 388.4840813766251, -1, -1, -1"
190,"585.8199027041836, 692.7331284794856, 1666.2633465303372, 436.0624959001307, -1, -1, -1"
191,"385.9635932593378, 63.849281129498706, 560.7312374789007, 130.61147904202954, -1, -1, -1"
192,"180.39294279136143, 2747.203947754005, 290.86751553173417, 552.4423342407456, -1, -1, -1"
193,"100.67222754361609, 816.716391111271, 2402.075709393777, 596.67584856804, -1, -1, -1"
194,"343.1018918572512, 263.274173991976, 685.9148282235071, 332.19786378530216, -1, -1, -1"
195,"1024.313678179887, 281.27076444776117, 343.94859218383345, 594.4918664059757, -1, -1, -1"
196,"731.8538736845801, 1322.1586045633546, 2217.512516899389, 308.9068180476012, -1, -1, -1"
197,"1442.3783222728453, 1101.2969039390694, 192.58388781551793, 190.52081785530999, -1, -1, -1"
198,"882.6792467352756, 249.9228314969698, 366.22572765770184, 1939.932600811233, -1, -1, -1"
199,"4302.89864134858, 192.70600859349892, 240.7435329034068, 688.0221624380597, -1, -1, -1"
200,"5668.791929072957, 1391.0383032975142, 294.56999909156343, 250.38096102042687, 247.89812103967, -1, -1"
201,"1281.3581205815144, 155.1882108140253, 1305.8712815625458, 475.0625267142391, 481.9827238996157, -1, -1"
202,"429.8805405815435, 277.5653277563748, 97.72366646486547, 56.452912481610056, 192.28428530135176, -1, -1"
203,"3509.0003740043276, 484.4464549253604, 1463.9805063982856, 104.66925794647355, 375.0997917689527, -1, -1"
204,"4381.05192213004, 163.1053295804196, 1365.064942146496, 702.4040864361411, 51.53157813488328, -1, -1"
205,"1776.704109257073, 190.5215680906046, 89.76199634226776, 365.5939440799915, 613.3052916499821, -1, -1"
206,"1119.9820422083862, 124.77013772466802, 1231.3270527957368, 260.949813011094, 376.3877777422289, -1, -1"
207,"394.3514618064588, 391.44505893981335, 645.7961949610211, 491.9220950398219, 430.6740918250384, -1, -1"
208,"587.7058666477702, 216.1781399841305, 368.83678645881776, 503.7538346135659, 626.3728829388037, -1, -1"
209,"785.5565060399329, 329.70703019965856, 1191.5532944944266, 39.827567612067384, 85.69699107579268, -1, -1"
210,"7255.305922256843, 186.24331176996316, 260.2935045775391, 292.78032841058086, 94.50599376734752, -1, -1"
211,"1071.7916391698618, 560.7165183691567, 1420.1588463757716, 210.42821312194758, 269.7497142336473, -1, -1"
212,"5677.187531178233, 247.27247073056895, 454.2163485402074, 370.46934194805925, 186.56121840887351, -1, -1"
213,"543.9933289002977, 1186.1586538180115, 284.3115890309961, 392.3372082891845, 487.5193741751221, -1, -1"
214,"175.4568919524417, 96.47792526533004, 79.79051809564507, 522.1666561623622, 565.662774017019, -1, -1"
215,"3149.963702167234, 210.0662936081855, 403.74943943971425, 357.2509899078045, 498.66237191799246, -1, -1"
216,"343.9582372704242, 442.85883530503605, 7173.123255130518, 1080.7432334190112, 215.1054800835237, -1, -1"
217,"448.3162552235444, 1299.2329964519267, 480.1311150027852, 712.7525320339844, 504.44787294865614, -1, -1"
218,"354.16845599950625, 2208.4855541677484, 626.9422376973557, 59.08118330451151, 151.8566667532836, -1, -1"
219,"615.2713754921643, 762.8159474584263, 490.4799997579546, 406.9277143666877, 464.4944083667093, -1, -1"
220,"665.4155205027076, 280.2122374413769, 518.0561021515224, 1142.7021545876748, 1496.8281906326706, -1, -1"
221,"3333.8997279493237, 491.37425894638733, 634.7127814877939, 2144.858385001272, 1164.6587789028188, -1, -1"
222,"573.642956317485, 590.6915809005262, 178.83678319761134, 199.6197692679586, 604.349006189091, -1, -1"
223,"130.29169983675422, 1297.4543433209308, 182.23705323629923, 5563.377905603883, 76.42237403313135, -1, -1"
224,"232.6748377392707, 523.5486823622407, 468.9770899428592, 2524.309702882212, 599.7543837211736, -1, -1"
225,"307.29868163412186, 632.4817515380801, 125.36131389822701, 300.4028181801573, 850.352370731673, -1, -1"
226,"841.7508317996499, 199.274530937777, 161.413721762504, 1099.56466556806, 327.0238869976215, -1, -1"
227,"959.5867634197107, 919.5536897292145, 160.88112409561035, 4338.504301873629, 394.21084488166787, -1, -1"
228,"2499.9522988447707, 382.0779048612173, 1186.1492423553798, 1767.5298020597988, 67.41359187522234, -1, -1"
229,"414.35728700861614, 735.8205723560666, 952.5180036108196, 100.68097392629369, 388.33969727957924, -1, -1"
230,"2949.347831301617, 278.6592914586009, 1948.6346476752417, 192.4058308266103, 935.6538400100553, -1, -1"
231,"115.98529599592143, 466.36696990438344, 2002.667544370549, 195.77429471034685, 272.87783432216463, -1, -1"
232,"661.2097363091651, 630.0211509781358, 258.8847172948552, 143.75784984031768, 607.7165860322036, -1, -1"
233,"1276.0210065359565, 589.7767956264729, 100.90165293743388, 227.1845392700431, 648.0315370498768, -1, -1"
234,"551.2208319862739, 391.42229079361897, 4077.857174658629, 379.26461234510333, 589.9921763707371, -1, -1"
235,"1119.7277858215493, 338.26644445913075, 480.1660955593419, 411.56277957451965, 2077.503352236251, -1, -1"
236,"225.0747322944791, 607.1169606444962, 974.7696757567617, 650.6277260615012, 354.375495445072, -1, -1"
237,"1744.6462542022732, 503.5550894241812, 4367.024817915912, 344.0873504300005, 184.68529352855455, -1, -1"
238,"624.8796603114201, 726.4427074742879, 2854.2414321889332, 353.2006459032824, 499.46161328433743, -1, -1"
239,"118.70783825716411, 1761.6058736998727, 408.6046475093701, 119.51074296539471, 438.4083595829942, -1, -1"
240,"296.52872534309256, 229.59451096039743, 798.8498484099734, 755.8578031201896, 1980.5324551453216, -1, -1"
241,"1111.1355599402882, 151.38993601702833, 311.89985653477777, 1049.6619256079346, 3298.776323474417, -1, -1"
242,"746.4435246051601, 1019.0415971280877, 1091.3774636212693, 1436.0857056691054, 4236.439752680024, -1, -1"
243,"390.8637143804562, 497.120590889898, 1660.3006694209482, 455.59870012623304, 578.7063740244984, -1, -1"
244,"2050.6914823119014, 959.7373729086016, 1531.7578243360654, 868.1263137438216, 220.0942425677598, -1, -1"
245,"1472.3756388052436, 2223.4722619842332, 119.4951881686388, 215.12944875976325, 422.87897578684175, -1, -1"
246,"237.3937501782159, 1434.4135070376533, 597.9964651382816, 205.94639760478532, 744.7344219303319, -1, -1"
247,"383.359028703003, 111.14283088815098, 489.79747679599905, 649.6855203611274, 139.04734788189404, -1, -1"
248,"3071.7817745364073, 586.5169865314159, 559.2469652193599, 349.4494517185121, 167.918460036397, -1, -1"
249,"671.8336508329816, 118.76322427474314, 177.86094960540814, 2244.451275486672, 3299.941927113704, -1, -1"
250,"5744.500405016527, 320.9671650786858, 518.0975504379128, 602.9832146163544, 310.17819288680744, -1, -1"
251,"302.9155325267877, 176.43733498576313, 352.5454659332175, 562.8695960871243, 230.6798454880457, -1, -1"
252,"69.07091577470052, 584.5157342783428, 562.6369116632832, 233.14019618648825, 1557.711264064477, -1, -1"
253,"1277.935951383363, 112.79094461313755, 5104.79383747912, 820.5601714813415, 685.8575877297986, -1, -1"
254,"2099.3255413950865, 849.1395186443377, 692.5920086961123, 2871.100315777241, 333.20640173164077, -1, -1"
255,"272.6346789702301, 2086.791518570772, 432.470390309829, 703.321345854347, 917.0035318950802, -1, -1"
256,"104.98996134131917, 292.0615869881028, 191.00378183528503, 2448.3698282871183, 292.1962639016765, -1, -1"
257,"382.1992902965204, 1847.3329168259775, 2592.704173589764, 1443.3083234255496, 1018.2358917421712, -1, -1"
258,"585.8505637384656, 489.08829667546354, 334.2269968557208, 2098.2628062415906, 1433.7209305719682, -1, -1"
259,"1030.2379273644165, 2037.0609406914969, 1086.3981287364363, 360.09272156999987, 399.5238111830123, -1, -1"
260,"471.07041642518556, 980.1532629690818, 127.36892124985381, 500.9348959261893, 192.65598558762798, -1, -1"
261,"467.2299198913983, 613.1430443730397, 111.97882097100273, 210.70980453772222, 171.05612187773352, -1, -1"
262,"492.7750853838029, 601.3890013755432, 445.99476858180446, 140.24304110953872, 326.5511402664399, -1, -1"
263,"1391.934730410638, 824.2393782126358, 2164.6827836166126, 133.76541940014263, 315.0581476804678, -1, -1"
264,"734.6307712693007, 1663.3269841632527, 1118.179556051771, 1183.6857569451536, 90.35942529522906, -1, -1"
265,"2669.0975798430513, 780.2185502405663, 682.7110773576974, 813.3226096113253, 155.96182477694867, -1, -1"
266,"4264.283098109023, 207.30766599854346, 72.08976363996496, 145.41596704078617, 207.69334696282613, -1, -1"
267,"197.68712618538206, 992.7965827597747, 605.3283834989702, 1028.8985886522503, 374.18965574839916, -1, -1"
268,"346.6772457387041, 9068.378163140367, 483.1181541973888, 5750.352461536244, 245.45854350482924, -1, -1"
269,"345.46438085598186, 274.53218986897934, 1757.8413988544694, 171.1895935848209, 297.297050488076, -1, -1"
270,"375.7787484433471, 944.2335946028973, 63.28558812236931, 1419.1568637151054, 374.9746400606792, -1, -1"
271,"779.8083844828781, 1459.8447665730835, 483.0142720797968, 101.98490528665965, 638.7124354731784, -1, -1"
272,"302.7247649097604, 323.14008070892487, 1078.0809297269063, 363.9792607015261, 971.1668403593942, -1, -1"
273,"341.7030316008968, 337.47308931020814, 4728.2188119404145, 300.6068324195882, 310.9962453508691, -1, -1"
274,"256.2876587901506, 269.4868409269252, 633.2125145727643, 230.44441299673974, 907.6639500956869, -1, -1"
275,"977.9754905881042, 1049.1196773445085, 1047.5507242158506, 268.631217872608, 268.4003030059423, -1, -1"
276,"273.01459155866326, 966.5670131870891, 377.7230544626313, 515.1165767030448, 563.740509360788, -1, -1"
277,"799.6742825137515, 1092.8140115002655, 403.26670253015556, 437.13990942014067, 299.9781746396991, -1, -1"
278,"596.633377995651, 6145.661972908282, 852.6921147164353, 723.7141798310759, 389.78548897905966, -1, -1"
279,"312.67695322373197, 1030.152286770197, 4542.922033827908, 156.30140768349165, 594.0144309729733, -1, -1"
280,"884.2157028705852, 122.46100743502559, 120.52397271310278, 547.6796541488847, 193.6008055307117, -1, -1"
281,"493.3917702130382, 256.14457755497995, 655.3138318127683, 778.5309389642839, 443.09205886995625, -1, -1"
282,"2335.927674519466, 1242.5630902512544, 41.17770388842218, 2300.6588510951115, 1151.0504094210833, -1, -1"
283,"736.6338932331199, 1653.6078834616258, 498.2379380795992, 159.5391593538891, 299.4292334351877, -1, -1"
284,"1410.3257260867235, 291.3217055970874, 1799.447930281285, 1112.7628214032134, 198.62024561161294, -1, -1"
285,"1488.1853730123987, 170.1246880966256, 321.6853374893933, 4486.998848852832, 175.8941646294653, -1, -1"
286,"1330.1469836877607, 302.8458150191374, 81.94516511175999, 537.0701698469268, 190.69517691961818, -1, -1"
287,"1251.252854108632, 261.93196502609254, 159.49893061734073, 342.64147642214874, 86.89356507428683, -1, -1"
288,"511.0753755062253, 65.32391421990518, 533.1840661017111, 131.1191620873306, 280.2611049711136, -1, -1"
